Vatt'ghern;@Kuklinsky_;1476205677;Vous êtes là à sucer les montages de Booba mais si c'était Rohff qui les faisait ça descendrait Rohff comme jamais;1;0;0;
YL;@GraciasBielsa13;1476203471;@Rays_Tekass presque alors ma parole, j'aime bien rohff et Booba et objectivement ils ont presque autant de classique;1;1;1;
koko;@noixdekokoo;1476201682;rohff et même booba j'trouve qu'ils etaient largement mieux avant https://twitter.com/ntmilkovich/status/765234907417350145 …;0;0;0;
Flo Da Truth;@OnlySweetTruth;1476181375;@_De_Niro_ @rohff @booba Au putain j'avais jamais fais attention à la grandeur de cette punchline !;0;0;1;
zionghetto;@ghettozion;1476180666;BOOBA Raconte ça bagarre avec ROHFF donne Rdv a LAFOUINE KAARIS interview clash Nero Nemesis http://fb.me/1B6VagNT1 ;0;0;0;
Rick surcôté  🇩🇿;@fouedwahran;1476176256;"Bladi" de cheb mami>>>>>>>>>la carrière de rohff et Booba entière;0;0;0;
Waké talaaaa;@ansmgl;1476170854;Niro, Rohff, Alonzo, Mac Tyer.. EUX ils font tjs du RAP. Booba tt ça c'est de la dérive carrément j'appelle pas ça du rap;1;5;1;
 🎭;@_DenoEvans;1476143637;Après ça Booba il a essayé d'envoyer 40000 gang pour frapper des gens proches de Rohff, ils ont jamais rien fait;0;0;1;
Venom-Amg;@Venom93300;1476140182;Mais Rohff il a toujours eu plus de rage que Booba tu le sens dans le rap meme si Booba rap bien c'est pas le meme monde du tout;3;14;10;
الجزائر;@75__213;1476139816;Booba lacrim Rohff pnl soprano alonzo maitre gims olala .. que dla merde;0;0;1;
 ☪️;@RyaneAlg;1476139707;le son de rohff "du fond du cœur" il remballe tt les sons de booba post lunatic;0;0;1;
dustin;@GulerrBilge;1476131324;pr moi les vrais rappeurs c et ct rohff booba la fouine etc, c quoi ça aujd vos pnl et tt;1;2;2;
Lunatic.;@BaptisteTvn;1476125773;Booba ou Rohff ? — Booba http://curiouscat.me/Lvnatic/post/30410717 …;0;0;0;
rienadeclarer;@liberta940;1476114351;@RaptualitesFR @Sadekniuum des gars comme booba , rohff , ntm et iam ..... n'ont pas parler comme ça et lui vient faire le grossiste;0;7;1;
KRATOS  🔥;@Jordaan_7;1476112994;Rohff Booba La Fouine, croyez moi le plus intelligent des trois c'est bien La Fouine;0;1;0;
Jean-Michel Soprano;@Mick_Cio;1476108896;@Sidi_la NTM, I Am, la FF, le rohff old school, Booba epoque lunatic. Quand j ecoute le rap d aujourd hui j ai envie de me taillader;0;0;1;
